 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
car,pothole_light,night,rainy,hyderabad_highway,20.60,0.859,35.20,159.9,329.1,163.7,222.0,0.743,2.43,40.40,25.32,NO
pedestrian,pothole_light,evening_rush,foggy,kolkata_old,2.32,0.774,0.80,771.7,377.1,55.7,57.4,0.473,1.95,26.60,53.97,YES
truck,construction,evening_rush,dusty,delhi_inner,16.68,0.742,16.30,713.5,236.8,205.1,175.6,0.322,6.24,41.40,44.32,YES
autorickshaw,smooth,night,hazy,kolkata_old,14.92,0.674,30.20,1100.4,255.1,111.8,109.8,0.256,0.43,40.80,26.26,NO
bicycle,pothole_light,night,clear,bangalore_tech,12.25,0.664,19.30,1144.9,564.1,77.4,85.0,0.454,3.30,75.90,31.82,NO
car,smooth,night,dusty,rural_highway,24.02,0.804,35.00,730.5,472.8,171.3,156.1,0.253,1.08,28.40,32.60,NO
autorickshaw,pothole_heavy,morning_rush,clear,delhi_inner,14.95,0.701,15.90,6.5,344.2,132.3,142.9,0.405,6.86,76.70,36.03,NO
car,pothole_light,evening_rush,rainy,kolkata_old,13.33,0.834,11.60,393.7,433.2,183.2,238.5,0.146,3.38,34.60,33.58,NO
autorickshaw,damaged_edge,morning_rush,hazy,bangalore_tech,9.45,0.737,21.20,591.9,228.5,126.5,167.5,0.125,5.84,53.10,45.02,YES
car,smooth,evening_rush,clear,rural_highway,14.47,0.814,19.40,539.8,421.9,198.6,164.8,0.245,0.00,81.70,16.77,NO
car,pothole_light,evening_rush,clear,mumbai_suburban,14.32,0.896,25.40,660.8,507.6,184.8,165.7,0.084,3.61,78.70,26.87,NO
car,construction,evening_rush,clear,rural_highway,16.28,0.926,26.90,1034.4,471.8,203.1,196.0,0.199,6.23,74.70,38.14,NO
pedestrian,flooded,evening_rush,rainy,rural_highway,7.94,0.793,1.50,1076.7,366.4,63.7,73.7,0.276,5.01,29.40,52.08,YES
pedestrian,damaged_edge,dawn,dusty,mumbai_suburban,3.56,0.834,4.10,134.8,555.6,42.1,42.8,0.295,5.43,36.00,57.27,YES
truck,smooth,morning_rush,clear,hyderabad_highway,18.89,0.820,21.10,276.8,288.6,239.4,312.8,0.272,0.58,72.70,23.11,NO
bus,damaged_edge,evening_rush,foggy,rural_highway,28.79,0.831,5.80,854.8,374.4,254.0,312.4,0.023,5.27,24.60,44.03,YES
motorcycle,pothole_heavy,afternoon,clear,mumbai_suburban,10.27,0.839,39.00,994.0,442.2,74.1,63.7,0.423,7.26,77.90,32.38,NO
motorcycle,pothole_light,morning_rush,hazy,bangalore_tech,13.37,0.828,25.60,329.3,522.1,84.2,98.9,0.105,3.76,49.30,34.68,NO
dog,pothole_heavy,morning_rush,clear,bangalore_tech,7.76,0.563,4.40,871.8,234.9,86.7,75.2,0.358,9.92,79.90,67.90,YES
motorcycle,smooth,dawn,dusty,mumbai_suburban,16.73,0.790,35.00,801.9,458.0,86.8,82.7,0.366,0.00,36.50,27.94,NO
bus,smooth,night,foggy,delhi_inner,25.95,0.649,29.90,474.8,347.8,277.3,251.5,0.659,2.26,16.50,33.47,NO
car,pothole_heavy,dawn,rainy,mumbai_suburban,13.39,0.979,29.10,218.3,409.0,196.3,177.4,0.220,8.12,28.30,54.19,YES
bus,construction,dawn,foggy,mumbai_suburban,23.23,0.833,26.00,908.3,351.9,257.8,301.6,0.385,6.78,23.20,42.54,YES
car,construction,morning_rush,rainy,bangalore_tech,16.12,0.803,22.50,756.1,505.4,164.6,187.4,0.278,8.14,29.30,51.97,YES
bicycle,damaged_edge,afternoon,dusty,delhi_inner,3.56,0.700,18.10,204.9,560.7,67.3,61.0,0.260,2.52,29.50,40.93,NO
autorickshaw,smooth,evening_rush,rainy,rural_highway,12.71,0.672,16.00,816.8,277.1,121.1,168.8,0.118,1.66,30.60,40.46,NO
e-rickshaw,flooded,evening_rush,dusty,hyderabad_highway,9.81,0.831,13.40,859.7,524.7,120.4,126.8,0.096,8.23,36.90,48.08,YES
car,pothole_heavy,evening_rush,hazy,delhi_inner,10.37,0.856,15.00,967.1,243.6,189.6,162.7,0.137,9.31,51.90,52.96,YES
truck,damaged_edge,afternoon,clear,kolkata_old,15.26,0.904,30.10,235.6,402.8,222.5,194.1,0.143,2.48,85.80,21.87,NO
bus,pothole_heavy,evening_rush,hazy,kolkata_old,26.45,0.847,10.60,1016.6,403.3,251.8,289.7,0.201,8.92,44.70,54.53,YES
autorickshaw,damaged_edge,evening_rush,clear,rural_highway,11.91,0.796,15.30,176.3,234.2,130.8,181.5,0.214,6.98,77.30,37.26,NO
pedestrian,pothole_light,morning_rush,rainy,delhi_inner,7.41,0.750,0.00,746.6,605.8,37.1,42.4,0.535,5.85,28.90,56.24,YES
pedestrian,flooded,evening_rush,hazy,mumbai_suburban,8.34,0.766,4.60,791.6,532.8,75.4,103.3,0.516,4.31,42.40,44.68,YES
autorickshaw,construction,evening_rush,rainy,rural_highway,11.74,0.667,17.30,498.9,414.0,89.3,95.2,0.312,8.22,32.50,54.61,YES
pedestrian,pothole_heavy,evening_rush,clear,rural_highway,11.93,0.900,6.20,573.9,337.1,71.8,76.2,0.597,10.00,85.20,50.21,YES
truck,smooth,morning_rush,clear,hyderabad_highway,20.19,0.909,11.50,945.0,313.0,219.3,241.3,0.604,0.04,86.20,8.91,NO
bicycle,construction,night,hazy,hyderabad_highway,4.69,0.670,14.30,771.1,603.3,85.0,103.6,0.213,5.26,42.90,40.96,NO
car,smooth,morning_rush,dusty,delhi_inner,19.33,0.927,19.50,544.0,266.7,185.5,189.3,0.140,0.99,32.40,29.27,NO
motorcycle,flooded,afternoon,hazy,bangalore_tech,11.82,0.848,33.00,153.4,436.3,85.2,112.3,0.131,7.26,42.90,44.05,YES
bus,smooth,night,hazy,mumbai_suburban,23.05,0.919,24.00,7.5,225.7,258.3,211.2,0.215,0.00,35.30,20.30,NO
bicycle,pothole_light,evening_rush,rainy,delhi_inner,6.45,0.679,8.30,149.7,294.3,82.1,87.4,0.474,2.57,24.00,33.95,NO
autorickshaw,pothole_light,afternoon,rainy,hyderabad_highway,13.79,0.746,28.10,1113.9,499.7,115.1,127.3,0.306,5.18,29.80,40.45,NO
pedestrian,pothole_heavy,evening_rush,clear,delhi_inner,8.57,0.713,4.60,928.0,334.3,65.5,76.3,0.367,7.08,81.90,51.56,YES
motorcycle,damaged_edge,evening_rush,hazy,bangalore_tech,15.29,0.771,30.40,1176.3,651.9,63.7,61.5,0.057,5.48,47.50,44.15,YES
car,pothole_light,night,clear,rural_highway,14.21,0.696,29.90,39.3,365.2,179.9,190.1,0.291,5.87,76.10,39.52,NO
autorickshaw,smooth,night,dusty,delhi_inner,10.43,0.782,32.10,780.5,393.9,132.5,144.6,0.189,0.00,32.50,25.51,NO
motorcycle,smooth,evening_rush,clear,rural_highway,14.15,0.667,29.80,52.5,214.7,94.9,115.1,0.161,1.09,78.70,25.21,NO
truck,smooth,evening_rush,hazy,rural_highway,23.02,0.826,15.40,823.6,423.0,226.9,286.8,0.104,0.00,43.10,23.23,NO
car,flooded,morning_rush,clear,kolkata_old,16.02,0.700,22.80,421.3,252.9,174.1,216.4,0.305,5.78,83.40,38.23,NO
bus,construction,afternoon,clear,delhi_inner,26.40,0.820,24.10,97.4,337.4,263.5,264.8,0.342,7.62,73.50,40.71,NO
e-rickshaw,pothole_light,evening_rush,foggy,mumbai_suburban,10.05,0.634,7.50,670.3,350.4,100.0,139.9,0.194,3.07,14.30,42.49,YES
pedestrian,flooded,evening_rush,clear,bangalore_tech,10.26,0.883,3.70,337.2,374.6,76.3,99.9,0.374,4.59,78.50,42.45,YES
autorickshaw,damaged_edge,evening_rush,clear,mumbai_suburban,16.13,0.804,15.60,765.9,461.5,118.7,113.5,0.176,2.86,73.20,29.38,NO
motorcycle,smooth,afternoon,hazy,mumbai_suburban,13.47,0.770,34.40,805.0,509.7,56.9,52.2,0.316,1.48,35.50,26.69,NO
cow,construction,morning_rush,clear,rural_highway,8.13,0.714,0.00,816.3,261.6,122.1,120.7,0.477,6.55,72.50,49.38,YES
pedestrian,pothole_heavy,evening_rush,clear,delhi_inner,14.23,0.801,0.00,1220.1,432.7,50.7,54.3,0.653,8.68,78.80,45.67,YES
car,pothole_heavy,afternoon,foggy,hyderabad_highway,6.96,0.801,35.70,424.6,422.4,182.1,238.6,0.283,7.42,23.20,57.49,YES
bicycle,flooded,night,foggy,delhi_inner,16.81,0.457,6.70,549.3,374.6,99.5,126.1,0.218,4.61,23.30,46.49,YES
cow,pothole_light,morning_rush,dusty,kolkata_old,3.29,0.591,5.50,929.8,259.2,124.4,163.1,0.609,4.78,42.90,65.48,YES
bicycle,flooded,evening_rush,dusty,rural_highway,8.13,0.700,12.30,699.5,341.6,70.6,68.0,0.272,6.39,35.50,45.43,YES
pedestrian,flooded,dawn,rainy,mumbai_suburban,6.45,0.726,6.50,46.4,302.1,34.1,39.4,0.248,5.72,31.20,54.40,YES
truck,pothole_heavy,morning_rush,clear,delhi_inner,20.45,0.855,14.30,899.9,239.5,212.6,206.2,0.190,8.36,78.70,44.38,YES
motorcycle,flooded,evening_rush,foggy,kolkata_old,12.85,0.820,26.80,60.5,361.9,105.3,91.1,0.108,4.85,19.00,48.21,YES
bicycle,pothole_light,morning_rush,foggy,hyderabad_highway,8.19,0.688,8.70,209.6,446.6,53.0,64.1,0.457,5.27,30.40,46.34,YES
dog,smooth,evening_rush,foggy,kolkata_old,6.28,0.353,0.00,122.6,232.8,78.8,69.8,0.450,1.55,21.30,59.98,YES
car,damaged_edge,evening_rush,hazy,mumbai_suburban,12.06,0.896,29.70,85.3,379.2,185.9,223.2,0.696,5.91,46.70,33.40,NO
car,construction,evening_rush,clear,mumbai_suburban,17.45,0.793,21.90,28.3,504.3,179.6,213.5,0.266,6.55,74.30,40.42,NO
motorcycle,pothole_heavy,evening_rush,foggy,rural_highway,9.36,0.667,25.20,65.6,592.5,87.8,112.9,0.144,8.07,22.10,58.64,YES
cow,smooth,night,rainy,rural_highway,9.63,0.357,16.90,512.1,541.3,122.6,108.3,0.489,1.88,33.30,53.69,YES
e-rickshaw,damaged_edge,morning_rush,dusty,bangalore_tech,8.41,0.660,8.70,289.6,292.9,134.8,171.3,0.238,6.54,40.60,49.39,YES
car,damaged_edge,morning_rush,clear,hyderabad_highway,13.40,0.797,22.10,135.5,205.1,208.9,292.3,0.325,7.39,83.20,41.61,YES
truck,damaged_edge,night,clear,bangalore_tech,22.25,0.756,33.10,697.8,392.3,220.7,289.3,0.654,4.06,79.40,27.12,NO
motorcycle,pothole_heavy,evening_rush,clear,bangalore_tech,13.83,0.735,15.00,263.1,220.9,116.3,145.6,0.164,6.96,79.20,34.24,NO
bus,pothole_light,night,foggy,delhi_inner,22.62,0.701,22.00,19.6,246.9,244.0,292.2,0.466,4.16,19.60,43.83,YES
cow,pothole_light,evening_rush,clear,bangalore_tech,7.05,0.784,6.80,474.5,399.4,146.0,153.8,0.105,4.49,80.50,51.80,YES
cow,flooded,night,clear,kolkata_old,10.19,0.440,5.50,347.2,257.1,161.5,200.0,0.617,5.83,86.30,51.79,YES
autorickshaw,pothole_light,evening_rush,dusty,delhi_inner,12.02,0.763,14.50,371.8,517.1,113.1,139.6,0.192,3.53,40.40,38.00,NO
motorcycle,pothole_heavy,night,clear,bangalore_tech,14.26,0.546,36.80,543.6,549.8,59.3,69.9,0.257,9.52,83.80,50.61,YES
motorcycle,construction,dawn,foggy,hyderabad_highway,7.21,0.764,41.90,818.9,539.1,55.8,71.3,0.039,6.89,30.10,46.69,YES
car,pothole_heavy,evening_rush,hazy,kolkata_old,9.72,0.919,15.50,659.1,440.3,210.9,225.5,0.130,6.54,31.70,45.21,YES
dog,construction,morning_rush,foggy,kolkata_old,4.60,0.581,4.40,1141.5,302.3,62.1,54.2,0.326,5.68,17.70,67.90,YES
cow,damaged_edge,afternoon,rainy,rural_highway,7.34,0.570,8.40,591.6,465.5,137.2,155.8,0.357,5.30,29.90,63.07,YES
e-rickshaw,flooded,morning_rush,dusty,delhi_inner,11.06,0.753,10.00,560.8,353.0,93.3,89.5,0.087,9.60,31.60,57.46,YES
e-rickshaw,pothole_light,morning_rush,dusty,kolkata_old,7.09,0.853,7.20,246.7,461.4,124.2,128.0,0.301,2.83,30.40,38.05,NO
truck,pothole_heavy,afternoon,clear,hyderabad_highway,21.60,0.953,36.30,809.6,242.9,208.3,168.8,0.215,7.62,71.40,36.28,NO
pedestrian,damaged_edge,evening_rush,clear,kolkata_old,6.94,0.769,9.20,174.2,535.9,42.6,43.9,0.303,7.89,78.40,56.08,YES
bicycle,flooded,evening_rush,clear,mumbai_suburban,12.13,0.663,10.80,592.1,612.4,74.5,95.7,0.578,5.42,84.50,34.46,NO
cow,damaged_edge,evening_rush,rainy,delhi_inner,8.73,0.594,6.50,487.0,216.6,124.0,139.6,0.378,5.55,33.90,66.38,YES
motorcycle,pothole_heavy,evening_rush,dusty,rural_highway,9.19,0.763,24.00,791.7,242.9,77.3,62.3,0.373,10.00,31.20,62.91,YES
autorickshaw,damaged_edge,morning_rush,hazy,bangalore_tech,11.44,0.807,12.90,1045.1,245.4,141.0,152.6,0.194,3.86,46.10,41.91,YES
car,damaged_edge,morning_rush,rainy,rural_highway,18.19,0.775,19.50,1035.2,345.6,186.4,181.7,0.537,4.63,36.80,33.66,NO
bus,damaged_edge,morning_rush,clear,kolkata_old,22.80,0.866,14.60,172.5,271.6,252.0,273.8,0.248,4.42,72.40,31.27,NO
truck,damaged_edge,evening_rush,foggy,kolkata_old,24.60,0.866,26.50,276.7,431.8,223.2,232.8,0.100,3.18,19.20,36.41,NO
motorcycle,flooded,morning_rush,dusty,hyderabad_highway,8.25,0.814,21.10,978.7,398.6,74.2,100.8,0.095,7.88,36.40,62.22,YES
pedestrian,damaged_edge,afternoon,clear,kolkata_old,2.98,0.743,1.60,622.0,420.0,79.9,65.9,0.417,4.30,80.10,47.23,YES
truck,pothole_heavy,evening_rush,hazy,bangalore_tech,19.67,0.920,8.60,485.7,392.5,207.8,251.5,0.509,6.95,49.30,43.20,YES
motorcycle,smooth,night,clear,bangalore_tech,5.84,0.587,39.60,850.5,348.8,83.2,109.0,0.415,0.00,72.50,25.29,NO
car,pothole_heavy,morning_rush,rainy,hyderabad_highway,18.55,0.779,18.60,661.1,295.4,181.7,250.0,0.350,9.11,25.00,46.89,YES
pedestrian,pothole_light,evening_rush,hazy,mumbai_suburban,17.23,0.798,2.80,1179.3,548.9,65.1,59.0,0.329,4.14,48.40,42.78,YES
autorickshaw,pothole_light,evening_rush,clear,bangalore_tech,8.24,0.781,12.30,667.7,486.5,136.5,152.8,0.305,3.05,71.50,27.37,NO
pedestrian,pothole_heavy,night,hazy,delhi_inner,7.83,0.665,11.50,573.4,206.9,49.5,40.9,0.483,8.49,49.10,59.76,YES
autorickshaw,pothole_light,dawn,clear,rural_highway,5.34,0.817,29.10,627.3,255.1,124.4,136.7,0.066,4.98,82.20,37.29,NO
dog,pothole_heavy,morning_rush,hazy,delhi_inner,7.47,0.598,5.00,974.3,296.8,74.9,65.6,0.155,7.97,48.70,70.71,YES
truck,flooded,morning_rush,rainy,kolkata_old,16.01,0.763,21.80,670.3,297.7,185.9,242.2,0.107,5.72,27.70,39.18,NO
truck,construction,night,clear,bangalore_tech,17.22,0.716,32.30,701.3,301.9,196.2,170.3,0.319,8.22,82.50,41.58,YES
dog,pothole_heavy,evening_rush,foggy,bangalore_tech,1.25,0.507,4.70,1184.3,502.5,60.9,67.5,0.208,7.78,14.10,85.19,YES
motorcycle,construction,evening_rush,rainy,kolkata_old,13.39,0.830,20.50,747.3,564.7,71.6,79.6,0.275,8.93,27.90,58.08,YES
car,smooth,evening_rush,hazy,delhi_inner,19.16,0.841,19.80,425.2,256.8,162.0,224.1,0.003,0.00,45.20,27.37,NO
car,pothole_light,evening_rush,clear,kolkata_old,15.49,0.931,15.60,752.7,364.3,191.2,228.2,0.090,3.06,75.50,25.85,NO
pedestrian,pothole_heavy,dawn,foggy,hyderabad_highway,4.64,0.720,0.00,811.1,373.4,50.0,48.7,0.517,6.92,21.10,62.95,YES
pedestrian,smooth,dawn,dusty,hyderabad_highway,14.79,0.769,4.50,17.1,440.7,46.8,44.2,0.319,0.00,29.30,32.42,NO
pedestrian,damaged_edge,night,clear,delhi_inner,6.78,0.723,17.60,583.6,505.8,31.2,27.3,0.150,5.00,81.30,48.61,YES
motorcycle,damaged_edge,afternoon,clear,rural_highway,1.45,0.776,44.90,892.0,575.8,79.3,99.5,0.413,3.41,88.70,33.86,NO
car,pothole_heavy,night,clear,kolkata_old,15.77,0.783,34.50,568.6,267.2,140.6,170.8,0.626,8.12,73.70,37.04,NO
car,pothole_heavy,morning_rush,rainy,rural_highway,11.21,0.840,18.20,859.5,227.2,177.6,207.0,0.267,8.68,29.90,56.98,YES
motorcycle,pothole_light,morning_rush,clear,bangalore_tech,12.23,0.784,27.10,540.6,484.3,80.9,66.7,0.108,2.24,71.90,28.67,NO
truck,pothole_light,night,hazy,kolkata_old,18.48,0.765,31.40,1038.8,294.1,223.6,281.3,0.490,3.37,40.80,31.30,NO
motorcycle,pothole_heavy,afternoon,rainy,rural_highway,12.36,0.804,37.60,358.3,273.8,56.5,67.0,0.115,8.68,33.50,52.54,YES
autorickshaw,pothole_light,morning_rush,rainy,rural_highway,16.97,0.774,13.70,106.6,241.0,123.4,170.0,0.268,2.69,27.80,37.12,NO
bicycle,flooded,morning_rush,hazy,bangalore_tech,6.26,0.808,12.40,527.0,455.6,54.4,62.7,0.267,5.62,48.70,43.29,YES
motorcycle,construction,night,hazy,mumbai_suburban,8.15,0.726,40.00,656.7,336.2,67.8,66.6,0.270,8.31,46.80,51.71,YES
autorickshaw,pothole_light,evening_rush,rainy,bangalore_tech,13.11,0.643,12.30,401.2,584.5,130.8,134.5,0.653,6.15,29.70,41.65,YES
pedestrian,construction,evening_rush,clear,bangalore_tech,12.50,0.947,3.00,290.7,381.6,80.2,72.6,0.042,7.53,74.90,47.31,YES
motorcycle,pothole_light,morning_rush,clear,mumbai_suburban,8.16,0.736,21.70,806.0,289.2,80.8,99.7,0.333,3.80,83.40,27.68,NO
pedestrian,smooth,night,dusty,mumbai_suburban,4.55,0.784,6.90,468.5,497.9,37.7,46.2,0.162,0.00,36.50,40.22,NO
dog,pothole_heavy,night,clear,rural_highway,6.37,0.539,9.70,762.2,310.6,72.8,67.0,0.252,9.09,72.40,68.46,YES
bicycle,damaged_edge,afternoon,rainy,delhi_inner,9.14,0.624,23.80,931.7,419.7,84.1,75.3,0.503,6.36,25.20,49.02,YES
car,construction,evening_rush,dusty,kolkata_old,14.35,0.873,23.20,830.0,373.6,189.3,160.2,0.353,5.61,21.20,43.24,YES
bicycle,damaged_edge,morning_rush,clear,delhi_inner,4.14,0.745,6.40,438.7,367.9,111.1,149.7,0.133,6.09,73.20,48.90,YES
autorickshaw,pothole_light,dawn,hazy,mumbai_suburban,18.76,0.858,24.40,664.9,532.2,109.3,102.7,0.262,3.27,43.40,35.40,NO
motorcycle,damaged_edge,evening_rush,rainy,delhi_inner,5.48,0.702,22.00,537.9,294.4,83.8,84.3,0.168,3.97,24.70,49.43,YES
autorickshaw,pothole_heavy,dawn,dusty,mumbai_suburban,11.48,0.764,29.40,989.9,544.8,143.2,138.7,0.070,7.82,30.80,55.08,YES
e-rickshaw,flooded,afternoon,dusty,hyderabad_highway,8.99,0.560,7.60,1008.6,501.8,132.3,138.7,0.086,7.19,42.00,54.34,YES
autorickshaw,smooth,night,rainy,rural_highway,19.20,0.770,31.10,408.8,336.1,90.7,111.5,0.420,0.37,35.10,27.19,NO
motorcycle,pothole_light,night,clear,mumbai_suburban,4.41,0.655,46.90,110.1,274.8,79.9,105.7,0.413,4.34,76.50,36.70,NO
pedestrian,smooth,evening_rush,rainy,bangalore_tech,15.28,0.734,0.00,202.4,327.0,72.3,65.7,0.505,0.42,34.00,39.01,NO
motorcycle,damaged_edge,dawn,hazy,bangalore_tech,12.39,0.814,47.70,424.5,323.2,123.4,149.5,0.072,5.56,51.10,38.78,NO
car,pothole_heavy,afternoon,hazy,rural_highway,16.92,0.874,41.20,614.7,382.3,190.6,192.8,0.499,7.86,48.10,45.34,YES
car,damaged_edge,morning_rush,clear,hyderabad_highway,13.04,0.929,22.50,726.1,212.9,174.5,242.2,0.113,5.76,81.50,33.91,NO
car,pothole_heavy,evening_rush,clear,bangalore_tech,18.31,0.980,12.80,369.5,527.8,164.9,161.5,0.422,7.21,85.50,26.83,NO
car,damaged_edge,night,foggy,kolkata_old,10.98,0.753,30.00,712.0,234.4,213.3,171.5,0.483,5.78,23.80,45.43,YES
car,flooded,evening_rush,hazy,hyderabad_highway,20.59,0.919,20.30,1021.3,286.1,190.9,211.8,0.272,7.03,38.90,39.66,NO
pedestrian,flooded,morning_rush,clear,delhi_inner,3.30,0.820,6.20,810.3,253.2,37.3,33.2,0.092,6.84,79.10,52.76,YES
car,smooth,evening_rush,hazy,bangalore_tech,15.96,0.941,21.00,174.9,295.9,177.0,146.3,0.130,0.90,42.20,25.43,NO
motorcycle,smooth,afternoon,dusty,rural_highway,7.40,0.792,45.40,692.9,549.2,84.7,103.2,0.153,0.56,40.80,25.20,NO
bicycle,pothole_heavy,evening_rush,rainy,hyderabad_highway,7.19,0.773,8.60,651.3,460.3,78.2,96.9,0.372,9.41,27.10,57.12,YES
autorickshaw,damaged_edge,evening_rush,clear,kolkata_old,13.37,0.847,11.50,1021.8,292.1,106.5,114.6,0.656,2.27,76.20,20.38,NO
pedestrian,pothole_light,night,clear,bangalore_tech,8.71,0.715,0.00,434.1,610.4,40.8,49.2,0.061,5.02,85.10,48.49,YES
car,smooth,morning_rush,clear,mumbai_suburban,19.91,0.840,19.00,475.7,476.8,155.2,174.3,0.301,2.37,81.30,21.11,NO
car,pothole_light,evening_rush,dusty,bangalore_tech,10.10,0.870,20.30,649.2,418.3,195.6,230.4,0.131,3.25,45.60,35.47,NO
car,pothole_heavy,afternoon,rainy,kolkata_old,19.06,0.810,34.10,579.6,469.1,174.9,202.5,0.317,7.12,25.70,48.07,YES
car,damaged_edge,morning_rush,hazy,bangalore_tech,24.42,0.798,17.40,785.9,383.2,187.0,224.3,0.260,6.54,42.40,42.52,YES
motorcycle,pothole_heavy,night,rainy,hyderabad_highway,9.21,0.725,50.80,47.6,414.0,101.3,93.2,0.257,6.89,35.60,44.40,YES
car,damaged_edge,dawn,hazy,rural_highway,20.92,0.879,34.20,618.0,328.6,183.3,176.2,0.334,4.20,38.60,34.98,NO
car,pothole_light,afternoon,foggy,delhi_inner,12.71,0.854,33.90,134.0,273.9,178.3,189.7,0.333,4.20,26.60,41.29,YES
car,pothole_heavy,night,hazy,bangalore_tech,8.70,0.717,42.20,345.8,381.0,182.9,195.3,0.451,7.04,39.00,44.77,YES
autorickshaw,smooth,night,clear,bangalore_tech,10.48,0.617,25.10,766.9,526.5,120.9,153.0,0.347,1.05,83.10,22.69,NO
motorcycle,pothole_heavy,night,clear,kolkata_old,12.89,0.651,41.90,186.0,449.1,98.7,100.7,0.125,7.05,70.80,44.68,YES
motorcycle,pothole_light,morning_rush,hazy,mumbai_suburban,5.75,0.833,29.60,369.2,608.3,84.7,76.0,0.014,4.43,45.20,45.20,YES
autorickshaw,damaged_edge,dawn,dusty,kolkata_old,8.94,0.820,25.00,821.2,347.6,111.8,106.3,0.424,5.34,28.20,42.85,YES
pedestrian,pothole_heavy,afternoon,clear,rural_highway,8.95,0.810,8.70,790.3,519.0,65.7,61.0,0.290,10.00,89.60,56.85,YES
car,flooded,afternoon,dusty,bangalore_tech,16.26,0.901,34.30,98.5,377.8,198.5,245.9,0.356,7.40,29.60,46.40,YES
pedestrian,pothole_heavy,morning_rush,foggy,rural_highway,8.97,0.742,4.30,721.6,526.9,29.9,32.4,0.216,7.36,15.90,63.46,YES
pedestrian,pothole_heavy,evening_rush,clear,rural_highway,8.95,0.830,3.00,177.7,477.7,73.0,89.4,0.589,6.48,82.70,40.04,NO
car,damaged_edge,morning_rush,clear,delhi_inner,16.96,0.969,18.50,276.1,272.1,185.5,194.7,0.226,6.01,77.00,31.79,NO
dog,pothole_light,morning_rush,clear,mumbai_suburban,4.62,0.642,3.50,553.7,260.4,74.2,99.0,0.163,3.22,83.50,49.99,YES
bicycle,pothole_heavy,afternoon,rainy,rural_highway,10.61,0.710,0.30,130.7,593.1,85.1,118.3,0.186,7.60,26.40,54.39,YES
car,pothole_light,night,clear,rural_highway,11.21,0.786,42.20,1101.5,214.2,171.5,206.1,0.470,2.73,76.10,29.45,NO
motorcycle,pothole_light,night,hazy,delhi_inner,13.16,0.610,32.50,196.1,385.1,94.3,124.3,0.107,4.81,44.90,47.16,YES
cow,flooded,afternoon,hazy,delhi_inner,6.47,0.587,0.00,895.1,358.0,134.3,148.4,0.093,5.22,38.90,67.95,YES
pedestrian,pothole_light,night,rainy,delhi_inner,11.02,0.663,1.40,1039.1,373.6,27.9,37.9,0.352,3.96,32.00,45.09,YES
car,damaged_edge,night,clear,rural_highway,14.37,0.774,24.20,1108.8,439.0,165.0,214.4,0.187,4.98,84.40,37.39,NO
motorcycle,flooded,night,hazy,delhi_inner,11.29,0.733,42.80,510.7,495.6,88.5,123.5,0.116,6.22,47.80,46.53,YES
motorcycle,pothole_light,morning_rush,hazy,bangalore_tech,8.36,0.921,18.70,1061.3,600.8,65.8,77.3,0.157,4.79,48.20,39.19,NO
autorickshaw,construction,evening_rush,hazy,hyderabad_highway,8.25,0.824,12.50,1087.6,333.4,144.2,182.7,0.151,6.71,35.40,51.00,YES
truck,pothole_light,dawn,foggy,delhi_inner,13.56,0.873,25.90,180.2,342.3,237.8,267.7,0.541,3.11,17.70,35.05,NO
motorcycle,construction,evening_rush,clear,kolkata_old,7.33,0.826,22.00,565.7,578.7,100.0,95.5,0.157,4.77,78.90,30.84,NO
autorickshaw,pothole_heavy,afternoon,foggy,mumbai_suburban,10.02,0.655,28.70,69.5,594.1,121.9,123.4,0.321,8.12,27.30,59.65,YES
pedestrian,damaged_edge,evening_rush,rainy,rural_highway,9.44,0.758,0.00,761.1,634.3,53.9,72.0,0.228,4.81,27.10,52.15,YES
car,smooth,evening_rush,rainy,mumbai_suburban,19.31,0.766,22.20,650.0,476.3,162.1,135.1,0.331,0.00,18.50,26.18,NO
motorcycle,pothole_light,evening_rush,rainy,kolkata_old,8.20,0.882,19.60,241.9,258.8,94.9,109.6,0.146,4.08,25.00,40.68,NO
pedestrian,damaged_edge,morning_rush,hazy,kolkata_old,4.31,0.847,5.10,976.9,210.7,55.7,57.0,0.516,6.03,41.70,52.13,YES
bicycle,damaged_edge,afternoon,clear,mumbai_suburban,5.86,0.781,13.00,44.8,562.3,78.5,81.0,0.226,6.33,69.20,41.65,YES
autorickshaw,pothole_heavy,night,rainy,delhi_inner,12.46,0.688,28.30,914.8,474.7,145.3,193.4,0.012,6.16,34.80,49.56,YES
autorickshaw,pothole_heavy,night,hazy,bangalore_tech,15.48,0.517,32.50,31.2,479.5,110.9,145.5,0.316,7.57,37.20,57.62,YES
car,damaged_edge,morning_rush,rainy,mumbai_suburban,18.27,0.880,22.60,723.8,287.8,178.1,206.5,0.141,6.15,32.20,45.93,YES
autorickshaw,damaged_edge,dawn,clear,hyderabad_highway,13.55,0.701,18.90,91.0,455.7,124.9,120.4,0.372,6.92,74.50,37.58,NO
